gene1073	K01517
gene1074	K01518
gene1075	K01520
gene1076	K01521
gene1077	K01522
gene1078	K01523
gene1079	K01524
gene1080	K01525
gene1081	K01526
gene1082	K01528
gene1083	K01529
gene1084	K01530
gene1085	K01531
gene1086	K01533
gene1087	K01534
gene1088	K01535
gene1089	K01537
gene1090	K01539
gene1091	K01541
gene1092	K01545
gene1093	K01546
gene1094	K01547
gene1095	K01548
gene1096	K01551
gene1097	K01552
gene1098	K01553
gene1099	K01554
gene1100	K01555
gene1101	K01556
gene1102	K01557
gene1103	K01560
gene1104	K01561
gene1105	K01563
gene1106	K01564
gene1107	K01565
gene1108	K01567
gene1109	K01568
gene1110	K01569
gene1111	K01571
gene1112	K01572
gene1113	K01573
gene1114	K01574
gene1115	K01575
gene1116	K01576
gene1117	K01577
gene1118	K01579
gene1119	K01580
gene1120	K01581
gene1121	K01582
gene1122	K01583
gene1123	K01584
gene1124	K01585
gene1125	K01586
gene1126	K01588
gene1127	K01589
gene1128	K01590
gene1129	K01591
gene1130	K01592
gene1131	K01593
gene1132	K01594
gene1133	K01595
gene1134	K01596
gene1135	K01597
gene1136	K01598
gene1137	K01599
gene1138	K01601
gene1139	K01607
gene1140	K01608
gene1141	K01609
gene1142	K01610
gene1143	K01611
gene1144	K01612
gene1145	K01613
gene1146	K01615
gene1147	K01617
gene1148	K01618
gene1149	K01619
gene1150	K01620
gene1151	K01621
gene1152	K01622
gene1153	K01623
gene1154	K01624
gene1155	K01625
gene1156	K01626
gene1157	K01627
gene1158	K01628
gene1159	K01629
gene1160	K01630
gene1161	K01631
gene1162	K01632
gene1163	K01633
gene1164	K01635
gene1165	K01636
gene1166	K01637
gene1167	K01638
gene1168	K01639
gene1169	K01640
gene1170	K01641
gene1171	K01643
gene1172	K01644
gene1173	K01646
gene1174	K01647
gene1175	K01649
gene1176	K01652
gene1177	K01653
gene1178	K01654
gene1179	K01655
gene1180	K01657
gene1181	K01658
gene1182	K01659
gene1183	K01661
gene1184	K01662
gene1185	K01663
gene1186	K01664
gene1187	K01665
gene1188	K01666
gene1189	K01667
gene1190	K01668
gene1191	K01669
gene1192	K01671
gene1193	K01673
gene1194	K01674
gene1195	K01676
gene1196	K01677
gene1197	K01678
gene1198	K01679
gene1199	K01681
gene1200	K01682
gene1201	K01684
gene1202	K01685
gene1203	K01686
gene1204	K01687
gene1205	K01689
gene1206	K01690
gene1207	K01692
gene1208	K01693
gene1209	K01695
gene1210	K01696
gene1211	K01697
gene1212	K01698
gene1213	K01699
gene1214	K01703
gene1215	K01704
gene1216	K01705
gene1217	K01706
gene1218	K01708
gene1219	K01709
gene1220	K01710
gene1221	K01711
gene1222	K01712
gene1223	K01713
gene1224	K01714
gene1225	K01715
gene1226	K01716
gene1227	K01718
gene1228	K01719
gene1229	K01720
gene1230	K01721
gene1231	K01722
gene1232	K01724
gene1233	K01725
gene1234	K01726
gene1235	K01727
gene1236	K01728
gene1237	K01729
gene1238	K01730
gene1239	K01731
gene1240	K01732
gene1241	K01733
gene1242	K01734
gene1243	K01735
gene1244	K01736
gene1245	K01737
gene1246	K01738
gene1247	K01739
gene1248	K01740
gene1249	K01744
gene1250	K01745
gene1251	K01746
gene1252	K01749
gene1253	K01750
gene1254	K01751
gene1255	K01752
gene1256	K01753
gene1257	K01754
gene1258	K01755
gene1259	K01756
gene1260	K01758
gene1261	K01759
gene1262	K01760
gene1263	K01761
gene1264	K01766
gene1265	K01768
gene1266	K01769
gene1267	K01770
gene1268	K01771
gene1269	K01772
gene1270	K01774
gene1271	K01775
gene1272	K01776
gene1273	K01777
gene1274	K01778
gene1275	K01779
gene1276	K01780
gene1277	K01781
gene1278	K01782
gene1279	K01783
gene1280	K01784
gene1281	K01785
gene1282	K01786
gene1283	K01787
gene1284	K01788
gene1285	K01789
gene1286	K01790
gene1287	K01791
gene1288	K01792
gene1289	K01795
gene1290	K01796
gene1291	K01797
gene1292	K01798
gene1293	K01799
gene1294	K01800
gene1295	K01802
gene1296	K01803
gene1297	K01804
gene1298	K01805
gene1299	K01807
gene1300	K01808
gene1301	K01809
gene1302	K01810
gene1303	K01811
gene1304	K01812
gene1305	K01813
gene1306	K01814
gene1307	K01815
gene1308	K01816
gene1309	K01817
gene1310	K01818
gene1311	K01819
gene1312	K01820
gene1313	K01821
gene1314	K01822
gene1315	K01823
gene1316	K01824
gene1317	K01825
gene1318	K01826
gene1319	K01828
gene1320	K01829
gene1321	K01833
gene1322	K01834
gene1323	K01835
gene1324	K01836
gene1325	K01838
gene1326	K01839
gene1327	K01840
gene1328	K01841
gene1329	K01842
gene1330	K01843
gene1331	K01844
gene1332	K01845
gene1333	K01846
gene1334	K01847
gene1335	K01848
gene1336	K01849
gene1337	K01850
gene1338	K01851
gene1339	K01854
gene1340	K01855
gene1341	K01856
gene1342	K01857
gene1343	K01858
gene1344	K01860
gene1345	K01865
gene1346	K01866
gene1347	K01867
gene1348	K01868
gene1349	K01869
gene1350	K01870
gene1351	K01872
gene1352	K01873
gene1353	K01874
gene1354	K01875
gene1355	K01876
gene1356	K01878
gene1357	K01879
gene1358	K01880
gene1359	K01881
gene1360	K01883
gene1361	K01884
gene1362	K01885
gene1363	K01886
gene1364	K01887
gene1365	K01889
gene1366	K01890
gene1367	K01892
gene1368	K01893
gene1369	K01894
gene1370	K01895
gene1371	K01897
gene1372	K01899
gene1373	K01900
gene1374	K01902
gene1375	K01903
gene1376	K01904
gene1377	K01905
gene1378	K01906
gene1379	K01907
gene1380	K01908
gene1381	K01909
gene1382	K01910
gene1383	K01911
gene1384	K01912
gene1385	K01913
gene1386	K01914
gene1387	K01915
gene1388	K01916
gene1389	K01917
gene1390	K01918
gene1391	K01919
gene1392	K01920
gene1393	K01921
gene1394	K01922
gene1395	K01923
gene1396	K01924
gene1397	K01925
gene1398	K01926
